Ground_Data,Satelite
73.41548746,90.08638988530727
77.32895289,121.34935279553072
118.107189,128.72093966145252
119.2319821,135.73197061620127
133.2693656,136.03724814078214
135.1344061,137.49119466480445
136.2970588,138.04688165139663
138.4133986,138.7552955877095
139.3848202,139.26542760111732
141.6123409,141.4505656536313
145.2011292,148.58136166927375
151.924036,161.66561537374304
161.2431007,164.50249961173185
166.6452526,167.58398744357535
169.0457317,168.84457423351955
174.314867,177.62014719273742
178.6974237,178.76670870502795
182.831429,182.95288908491622
184.6432086,189.67946000670395
186.6265622,193.4063742122905
193.7235584,208.34414210167594
200.6469911,212.43199813743016
207.9092638,216.942991873743
215.6935854,220.2759725810056
219.0821272,220.73589662122907
220.8337528,221.4605735
223.8662097,223.97714288882682
224.2978845,224.20383244860335
243.4930978,225.15577112793298
247.135412,230.19585506703913
251.446613,240.27602294525144
260.7783963,243.83901590837988
261.7066591,253.27126336592184
265.9003096,265.15060671731845
269.0801766,266.16677890167597
283.394575,284.2873706608938
288.2373151,285.55892811731843
301.8953,298.6143315603347
315.1865102,305.6821811184358
335.3184491,336.0864542284917
341.5672181,349.52996706089385
359.8407061,391.86474500614526
371.8101582,394.80861825865924
391.5202492,396.28055488491617
397.1261355,404.3487973893855
408.4669818,413.45996566033523
413.7243001,415.9736502564246
418.4611669,418.4611669
